CSC10003,Ky thuat lap trinh,Nguyen Le Hoang Dung,4,51,WED,S3 S4,CTT
CSC100004,Ky thuat lap trinh,Truong Toan Thinh,4,50,THU,S3 S4,CTT
BAA00003,Phap luat dai cuong,Co PLDC 1,3,50,THU,S3 S4,CTT
BAA00004,Phap luat dai cuong,Co PLDC 2,3,50,FRI,S3 S4,CTT
PHY00000,Vat ly dai cuong 1,Thay VLDC1 1,3,50,WED,S1 S2,CTT
PHY00001,Vat ly dai cuong 1,Thay VLDC1 2,3,50,THU,S3 S4,CTT
BAA00006,Tam ly dai cuong,Co Thao,2,50,SAT,S2,CTT
BAA00007,Tam ly dai cuong,Co Thao,2,50,FRI,S2,CTT
ASDASDDD,Vi Tich Phan 2B, Le Van Chanh,3,50,SAT,S4,CTT
ASDASDDD,Vi Tich Phan 2B, Nguyen Vu Huy,3,50,SAT,S4,CTT
